feature_signature,group_size,distinct_labels
__EMPTY__,82,2
47879:1.00000000,80,2
6425:0.28737373|36899:0.17473241|2910:0.43154080|6541:0.83705284,34,2
36899:0.02164971|41932:0.02819834|21582:0.08003472|41967:0.04456969|45621:0.07301606|45458:0.14617872|225:0.40757631|30070:0.23708555|1452:0.08798371|567:0.17801778|34245:0.07395142|45206:0.14644091|16980:0.17856070|24415:0.08409207|1438:0.10647010|27860:0.22197754|5733:0.10705547|45623:0.07315478|45459:0.08819969|229:0.17377599|21781:0.07524379|30071:0.08930141|226:0.08934361|1453:0.08911279|568:0.08934361|243:0.08496873|34248:0.07556151|45211:0.08806194|21690:0.08932250|16981:0.08934361|232:0.10784771|24416:0.10772341|1440:0.11098877|27865:0.11098877|27861:0.11098877|45490:0.07530872|30073:0.09029940|574:0.08959902|45222:0.09124086|37267:0.07961991|45624:0.08819969|45460:0.08928035|231:0.08775118|21782:0.08930141|30072:0.08934361|227:0.08934361|1454:0.08934361|569:0.08934361|244:0.08543292|34249:0.08806194|45212:0.08932250|230:0.08934361|21691:0.08934361|16982:0.10784771|233:0.10784771|24417:0.11098877|1441:0.11098877|27866:0.11098877|45491:0.09029940|30074:0.09059233|575:0.09128814|9544:0.10436141|30116:0.10436141|9545:0.10436141|30117:0.10436141|9546:0.10436141|29604:0.12375953|29605:0.13117087|29606:0.13438491|5735:0.13834667|27863:0.13834667|5736:0.13834667,33,2
42638:0.01275967|3404:0.01210255|18108:0.02787029|40320:0.00820460|36899:0.01202989|26328:0.01243448|41932:0.00522290|21582:0.00494135|7941:0.00932354|10620:0.00638330|13813:0.02207144|37159:0.01097220|27300:0.04124187|41967:0.00825520|38006:0.01640304|30495:0.01585204|44793:0.02232823|22227:0.01794127|38294:0.01335123|27529:0.01344819|36121:0.68738015|695:0.01601640|37020:0.01541288|626:0.04395364|7186:0.01645569|46437:0.03299555|29663:0.01577142|48529:0.02042147|46438:0.03299555|8044:0.01298804|29670:0.02548986|36484:0.03161056|22228:0.02462902|886:0.01751552|33682:0.01531332|4156:0.05628633|39371:0.02127070|27536:0.02462902|44809:0.01996404|39357:0.01850509|44842:0.02343035|36113:0.07198132|7200:0.02194679|13922:0.03648111|13924:0.02332877|46986:0.06024389|13452:0.02319821|4178:0.25739513|1547:0.02272396|12385:0.10222605|40015:0.04166561|38576:0.04207220|40018:0.04355808|4158:0.02542459|36199:0.10023568|39361:0.02368087|19462:0.11767647|9613:0.10491761|1551:0.02448176|17895:0.06776769|17852:0.02622940|1554:0.04492000|28228:0.02364384|24853:0.02134105|17884:0.04512592|39026:0.04679225|1542:0.02411958|651:0.04721449|4180:0.02425059|1552:0.02478348|4187:0.02622940|4182:0.02614717|1555:0.04517846|4189:0.02483668|642:0.02622940|1548:0.02304223|24855:0.02371833|887:0.02622940|39362:0.02434104|4179:0.02429549|652:0.04751248|4183:0.02614717|4181:0.02425059|1550:0.02371833|24856:0.02371833|46442:0.02266938|17869:0.02505892|18094:0.17541244|1541:0.09792703|17860:0.05335201|42764:0.02505892|17870:0.02505892|26337:0.02517618|18098:0.02517618|40377:0.02517618|4185:0.02387278|4188:0.02453009|18095:0.02517618|3460:0.02517618|18097:0.02517618|42765:0.02505892|26338:0.02517618|18099:0.02517618|18096:0.02517618|3461:0.02517618|36140:0.02457917|17866:0.02622940|17867:0.02622940|7188:0.02523648|44810:0.02523648|17864:0.02640056|17871:0.02622940|17865:0.02640056|17868:0.02640056|36137:0.02517618|17882:0.05197772|18802:0.05280112|17883:0.05297947|18803:0.05297947|36488:0.05011784|36141:0.02467967|36244:0.05621364|17853:0.05652255|36200:0.05591911|27518:0.10709366|36143:0.08478382|46987:0.02529795|36127:0.11304509|9614:0.05652255|36139:0.05621364|36122:0.08193376|36125:0.33913527|17900:0.08478382|4191:0.08478382|701:0.02483668|36130:0.11304509|39029:0.05652255|36135:0.08478382|36114:0.05652255|17854:0.05652255|17890:0.05652255|36201:0.05652255|36489:0.05591911|27520:0.05652255|19464:0.05652255|36128:0.05652255|36123:0.05652255|17901:0.08478382|1557:0.05652255|36126:0.08478382|39030:0.05652255|36136:0.05652255|36115:0.05652255|19463:0.05652255|27519:0.05652255|17891:0.05652255,17,2
41932:0.42767365|47879:0.47282266|41995:0.77041156,15,2
6425:0.31856316|36899:0.19369659|6541:0.92790040,12,2
31366:1.00000000,9,2
29109:1.00000000,8,2
18108:0.01294908|36899:0.01304175|41932:0.01698663|21582:0.06428370|43376:0.03172057|4296:0.03174291|3102:0.05532244|13558:0.03456560|13813:0.02392791|17263:0.19370579|17428:0.03023664|13854:0.03187948|13856:0.03313775|41967:0.02684870|8783:0.03361467|45621:0.04398475|45458:0.13208671|225:0.24552325|30070:0.21422988|1452:0.05300124|567:0.26809399|34245:0.04454821|45206:0.13232362|16980:0.16134698|24415:0.05065691|1438:0.06413740|27860:0.13371888|5733:0.06449003|45623:0.04406831|45459:0.05313134|229:0.10468235|21781:0.04532672|30071:0.05379501|226:0.05382043|1453:0.05368139|568:0.05382043|243:0.05118501|34248:0.04551812|45211:0.05304836|21690:0.05380772|16981:0.05382043|232:0.06496727|24416:0.06489240|1440:0.06685944|27865:0.06685944|27861:0.06685944|45490:0.09073168|30073:0.10879240|574:0.10794859|45222:0.10992667|37267:0.04796290|45624:0.05313134|45460:0.05378233|231:0.05286116|21782:0.05379501|30072:0.05382043|227:0.05382043|1454:0.05382043|569:0.05382043|244:0.05146464|34249:0.05304836|45212:0.05380772|230:0.05382043|21691:0.05382043|16982:0.06496727|233:0.06496727|24417:0.06685944|1441:0.06685944|27866:0.06685944|45491:0.10879240|30074:0.10914533|575:0.10998363|3187:0.03721206|3267:0.05125421|33110:0.09850115|570:0.14101176|16408:0.05334784|12901:0.05044386|47764:0.06929322|7226:0.07790297|37589:0.08077723|14106:0.08503940|9544:0.12573426|18134:0.07555289|33122:0.06820847|12911:0.07130855|13610:0.07225511|17339:0.08558140|17659:0.08774062|37590:0.08503940|30116:0.12573426|9545:0.12573426|18135:0.07620336|572:0.07620336|33124:0.07217913|12912:0.07225511|30117:0.12573426|9546:0.12573426|29604:0.07455253|27876:0.23934029|11311:0.07057043|7228:0.08774062|26069:0.08503940|17542:0.08740302|26070:0.08740302|27878:0.26220907|17446:0.08740302|17543:0.08740302|27880:0.08740302|3268:0.07764231|11313:0.08921394|16409:0.07872707|17374:0.08961774|11312:0.09003803|7229:0.09003803|27882:0.09003803|27881:0.09003803|17375:0.09003803,8,2
